Name of Operation,District,Area,Geographic Location,Licensed 2016,Opening Year,Hotel Rooms,Hotel Units,Total beds,Hotel Employment Males National,Hotel Employment Females National,Hotel Employment Males Foreign,Hotel Employment Females Foreign,Latitude,Longitude
18 Degrees North,Belize,San Pedro,Nothern Islands,Yes,2007,3,1,3,1,0,0,0,18.0454,-87.54705
3 D Vacations,Belize,San Pedro,Nothern Islands,Yes,2012,5,5,6,0,1,0,0,17.530775,-87.590958
3 Little Birds Guest House,Belize,Caye Caulker,Northern Islands ,Yes,2014,2,1,3,0,0,0,1,,
A Belizean Nirvana,Stann Creek,Placencia,SouthEastern Coast ,Yes,2011,5,5,5,2,4,0,0,16.516685,-88.366395
A La Plantacion ,Cayo,Cayo,Western Belize ,Yes,2012,2,2,0,0,0,0,0,,
A New Dawn Beach House ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,6,3,3,0,1,0,1,16.634094,-88.33725
A Piece of Ground,Toledo,Toledo,Southern Belize,Yes,2006,5,5,19,1,1,0,0,16.091199,-88.810433
A.K. Mayflower Casita,Belize,San Pedro,Nothern Islands,Yes,2012,1,1,1,1,0,0,0,,
Abacus Cabanas ,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2015,4,4,6,1,1,0,0,16.51029,-88.16519
Acropolis Maya Hotel ,Cayo,Cayo,Western Belize ,Yes,2009,16,13,19,0,0,0,0,17.156772,-89.071229
Affairs To Remember ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2012,3,3,3,1,1,0,0,,
Agua Villa,Stann Creek,Placencia,SouthEastern Coast ,Yes,2007,1,1,4,1,1,0,0,,
Aguacate Homestay - Angelita Tosh,Toledo,Toledo,Southern Belize,Yes,2012,14,14,28,15,15,0,0,16.166354,-89.05166
Aguada Hotel ,Cayo,Cayo,Western Belize ,Yes,1994,24,19,36,4,11,0,0,17.156798,-89.057892
AJ Palms Beach House,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2013,6,3,7,0,0,0,1,16.51149,-88.16749
Ak'Bol Yoga Resort,Belize,San Pedro,Nothern Islands,Yes,2008,37,37,37,4,5,0,0,17.56605,-87.5655
Akihito Hotel,Orange Walk,Orange Walk,Northern Belize,Yes,2001,22,18,28,1,2,0,0,18.4386,-88.33719
Aldy's Guest House ,Corozal,Corozal,Northern Belize,Yes,2006,12,8,8,1,0,0,0,18.23367,-88.232356
Aleman's Guest House,Toledo,Toledo,Southern Belize,No,2007,8,4,4,0,1,0,0,16.251288,-88.893973
Ally's Guest House,Stann Creek,Placencia,SouthEastern Coast ,Yes,2007,5,4,5,0,0,0,0,,
Almond Beach Resort,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2003,20,20,33,4,8,0,0,16.839506,-88.270729
Almond Tree Hotel Resort,Corozal,Corozal,Northern Belize,Yes,2009,10,8,12,2,0,0,0,18.375615,-88.399
Alta Vista Accommodations,Belize,Caye Caulker,Northern Islands ,Yes,2011,2,2,1,1,1,0,0,17.737565,-88.028038
Amanda's Place,Belize,Caye Caulker,Northern Islands ,Yes,2003,6,6,6,1,1,0,0,17.741936,-88.024462
Amayanheaven ,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2014,1,1,2,0,0,0,0,16.51415,-88.16597
Amber Sunset Jungle Lodge ,Cayo,Cayo,Western Belize ,Yes,2011,5,5,11,8,2,0,0,17.205416,-88.939203
Ambergris Lake Villas,Belize,San Pedro,Nothern Islands,Yes,2009,18,7,17,0,0,1,1,17.90595,-87.975776
Anchorage Resort,Belize,Caye Caulker,Northern Islands ,Yes,1997,18,18,32,2,4,0,0,17.73799,-88.026521
Anda the Hows Hostel,Stann Creek,Placencia,SouthEastern Coast ,Yes,2015,1,1,10,0,2,0,0,16.515038,-88.365213
