District,Name of Site/Attraction               ,Natural,Cultural/Heritage Man-made,Special Events,     Type of Site/Attraction     ,Ownership (public or private),Co- Management, Number Employed, Number of Visitors Recorded for 2015,Lattitude  ,Longitude
Corozal ,Santa Rita,,X,,Archaeological Site,"Public- Institute of Archaeology, National Institure of Culture and History",,,,18.402392,-88.394914
Corozal,Cerros Maya,,X,,Archaeological Site,"Public- Institute of Archaeology, National Institure of Culture and History",,,848,18.359911,-88.340699
Corozal,Corozal Bay Wildlife Sanctuary,X,,,Wildife Sanctuary,Public- Forest Department & Fisheries Department,Sartenja Alliance for Conservation and Development,,,18.368794,-88.400386
Corozal,Honey Camp National Park,X,,,National Park,Public- Forest Department ,Association of Friends of Freshwater Creek,,,18.044707,-88.43797
Corozal,Fresh Water Creek Forest Reserve,X,,,Forest Reserve,Public- Forest Department ,  ,,,,
Corozal,Shipstern ,X,X,,Private Reserve,Private-International Tropical Conservation Foundation; Papiliorama- Nocturama Foundation,,,,18.317811,-88.183211
Orange Walk,Cuello ,,X,,Archaeological Site,Public,,,,18.079574,-88.565209
Orange Walk,Lamanai Archaeological Reserve,X,,,Private Reserve,,,,,17.751814,-88.653935
Orange Walk,Lamanai,,X,,Archaeological Site,"Public- Institute of Archaeology, National Institure of Culture and History",,,"56,084",17.764208,-88.65223
Orange Walk,Rio Bravo Conservation Area,X,,,Forest Reserve ,Private- Programme for Belize,,,,17.688974,-88.80709
Orange Walk,La Milpa ,,X,,Archaeological Site,Private- Programme for Belize,,,,17.841283,-89.018267
Orange Walk,Chan Chich,,X,,Archaeological Site, ,,,,17.538972,-89.111176
Orange Walk,Aguas Turbias National Park,X,,,National Park,,,,,,
Orange Walk,Dubloon Bank,x,,,Bird Sanctuary,,,,,,
Belize,Altun Ha ,,x,,Archaeological Site,"Public- Institute of Archaeology, National Institure of Culture and History",,,"100, 705",17.764465,-88.347308
Belize,Crooked Tree Wildlife Sanctuary,X,,,Wildlife Sanctuary,Public- Forest Department,Belize Audubon Society,,"1,734",17.734517,-88.537202
Belize,Community Baboon Sanctuary,X,,,Private Reserves,Private- Women's Conservation Group,,,,17.555774,-88.534968
Belize,Belize Zoo,,X,,Wildlife/Zoo,,,,,17.350026,-88.552975
Belize,Bird Caye,x,,,Bird Sanctuary,,,,,,
Belize,Little Guana Caye,,,,Bird Sanctuary,,,,,,
Belize,Los Salones,,,,Bird Sanctuary,,,,,,
Belize,Gales Point Wildlife Sanctuary ,X,,,Wildlife Sanctuary,Public- Forest Department,Gales Point Wildlife Sanctuary Community Management Committee,,,,
Belize,Burdon Canal Reserve,X,,,Nature Reserve,Public- Forest Department,,,,,
Belize,Monkey Bay Wildlife Sanctuary,X,,,Private Reserves,Guardians of the Jewel,,,,17.311705,-88.554117
Belize,Manatee Forest Reserve,X,,,Forest Reserve,Public- Forest Department,,,,,
Belize,Museum of Belize,,X,,Museum,National Institure of Culture of History,,,"9,979",17.498111,-88.183499
Stann Creek,Billy Barquedier National Park,X,,,National Park,Steadfast Tourism and Conservation Association,,,,,
Stann Creek,Grants Works Forest Reserve,X,,,Forest Reserve,Public- Forest Department,,,,,
Stann Creek,Sitee River Forest Reserve,X,,,Wildlife/Nature,,,,,16.871631,-88.439147
Stann Creek,Mayflower Bocawina National Park,X,,,National Park,Friends of Mayflower Bocawina National Park,,,,16.930141,-88.386915
Stann Creek,Commerce Bight Forest Reserve,X,,,Forest Reserve,,,,,,
Stann Creek,Cockscomb Basin Wildlife Sanctuary,X,,,Wildlife Sanctuary,Public- Forest Department,Belize Audubon Society,,"11,609",16.78961,-88.614489
Stann Creek,Mango Creek Forest Reserve,X,,,Forest Reserve,Public- Forest Department,,,,,
Stann Creek,Davis Falls,X,,,Waterfall,,,,,16.991301,-88.385469
Stann Creek,Billy Barquedier Waterfalls,X,,,Waterfall,,,,,,
Stann Creek,Victoria Peak Natural Monument,X,,,Natural Monument,,Belize Audubon Society,,,16.812471,-88.621709
Stann Creek,Cockscomb Basin Visitors Center,X,,,Visitor Center,,,,,16.789454,-88.614285
Stann Creek,Serpon Sugar Mill,,X,,Sugar Mill,"Public- Institute of Archaeology, National Institure of Culture and History",,,,,
Stann Creek,Gra Gra Lagoon,x,,,National Park,Friends of Gra Gra Lagoon,,,,,
Cayo,Cahal Pech,,X,,Archaeological Site,"Public- Institute of Archaeology, National Institure of Culture and History",,,"36,002",17.147218,-89.074689
Cayo,Xunantunich,,X,,Archaeological Site,"Public- Institute of Archaeology, National Institure of Culture and History",,,"85,384",17.090014,-89.141608
Cayo,Caracol,,X,,Archaeological Site,"Public- Institute of Archaeology, National Institure of Culture and History",,,"9,822",16.763082,-89.117815
Cayo,Terra Nava Forest Reserve,X,,,Archaeological Site,Public,,,,,
